Date,Total CLI - Daily,Total ED Visits - Daily,CLI Count - 7 day average,CLI Percent - Daily,CLI Percent - 7 day average,Total COVID - Daily,COVID Count - 7 day average,COVID Percent - Daily,COVID Percent - 7 day average
04/13/2021,139,3056,141,0.0,0.0,126,123,0.0,0.0
09/29/2020,71,2646,63,0.0,0.0,39,32,0.0,0.0
03/28/2020,251,2338,243,0.1,0.1,57,43,0.0,0.0
03/21/2020,151,2348,187,0.1,0.1,13,6,0.0,0.0
09/22/2021,,3090,,,,43,59,0.0,0.0
06/10/2020,83,2486,90,0.0,0.0,42,57,0.0,0.0
06/03/2021,53,3013,51,0.0,0.0,29,32,0.0,0.0
09/18/2020,61,2520,53,0.0,0.0,39,31,0.0,0.0
12/01/2021,,3240,,,,131,118,0.0,0.0
12/27/2021,,3766,,,,664,603,0.2,0.2
10/28/2020,138,2635,127,0.1,0.1,112,104,0.0,0.0
12/15/2020,166,2426,183,0.1,0.1,145,165,0.1,0.1
03/14/2021,41,2137,49,0.0,0.0,23,36,0.0,0.0
02/27/2022,,2479,,,,12,19,0.0,0.0
05/31/2020,103,2406,140,0.0,0.1,89,111,0.0,0.0
08/04/2020,81,2804,72,0.0,0.0,44,44,0.0,0.0
11/25/2020,205,2318,219,0.1,0.1,186,196,0.1,0.1
01/17/2021,105,2108,120,0.0,0.1,92,107,0.0,0.0
08/21/2021,,2939,,,,89,85,0.0,0.0
08/06/2021,,3209,,,,70,65,0.0,0.0
01/01/2021,109,2138,141,0.1,0.1,99,126,0.0,0.1
01/23/2022,,2023,,,,100,156,0.0,0.1
11/04/2020,232,2855,184,0.1,0.1,198,157,0.1,0.1
06/20/2020,58,2474,74,0.0,0.0,34,42,0.0,0.0
10/11/2021,,3259,,,,47,52,0.0,0.0
11/24/2021,,2943,,,,110,88,0.0,0.0
05/30/2021,48,2499,65,0.0,0.0,30,44,0.0,0.0
07/12/2020,57,2481,65,0.0,0.0,42,40,0.0,0.0
08/01/2020,67,2449,75,0.0,0.0,38,46,0.0,0.0
10/04/2021,,3527,,,,74,58,0.0,0.0
02/09/2022,,2779,,,,42,45,0.0,0.0
01/13/2021,109,2363,131,0.0,0.1,93,118,0.0,0.1
07/19/2020,68,2374,70,0.0,0.0,37,41,0.0,0.0
09/16/2021,,3359,,,,56,75,0.0,0.0
02/11/2022,,2690,,,,38,39,0.0,0.0
03/05/2022,,2612,,,,8,13,0.0,0.0
06/13/2021,18,2916,43,0.0,0.0,7,22,0.0,0.0
05/24/2021,74,3419,84,0.0,0.0,52,63,0.0,0.0
05/17/2020,184,1933,235,0.1,0.1,149,183,0.1,0.1
08/18/2021,,3325,,,,91,85,0.0,0.0
06/25/2020,76,2665,63,0.0,0.0,45,35,0.0,0.0
01/13/2022,,2636,,,,270,334,0.1,0.1
10/17/2020,83,2416,75,0.0,0.0,70,55,0.0,0.0
06/18/2021,29,2953,35,0.0,0.0,12,12,0.0,0.0
09/07/2020,60,2573,55,0.0,0.0,42,33,0.0,0.0
05/23/2021,79,2899,89,0.0,0.0,65,68,0.0,0.0
08/16/2021,,3445,,,,79,84,0.0,0.0
07/17/2020,60,2690,67,0.0,0.0,40,42,0.0,0.0
08/20/2021,,3162,,,,90,86,0.0,0.0
04/04/2020,249,2167,270,0.1,0.1,141,116,0.1,0.1
07/19/2021,,3489,,,,28,21,0.0,0.0
06/09/2021,49,3167,51,0.0,0.0,26,27,0.0,0.0
03/31/2020,281,2357,266,0.1,0.1,102,70,0.0,0.0
08/01/2021,,2829,,,,51,51,0.0,0.0
09/12/2020,57,2491,54,0.0,0.0,29,32,0.0,0.0
12/20/2020,129,2048,160,0.1,0.1,115,143,0.1,0.1
05/28/2020,141,2455,168,0.1,0.1,112,129,0.0,0.1
10/19/2020,101,2675,78,0.0,0.0,79,58,0.0,0.0
08/14/2021,,2880,,,,94,84,0.0,0.0
09/21/2020,70,2809,56,0.0,0.0,30,30,0.0,0.0
03/29/2020,233,2128,253,0.1,0.1,67,51,0.0,0.0
08/25/2020,62,2938,66,0.0,0.0,44,41,0.0,0.0
12/27/2020,163,2162,144,0.1,0.1,145,130,0.1,0.1
10/25/2021,,3108,,,,68,43,0.0,0.0
01/14/2022,,2529,,,,231,311,0.1,0.1
09/27/2021,,3654,,,,70,57,0.0,0.0
11/19/2021,,2963,,,,77,72,0.0,0.0
05/04/2020,308,2329,285,0.1,0.1,241,219,0.1,0.1
11/06/2021,,2736,,,,48,52,0.0,0.0
08/13/2020,84,2856,66,0.0,0.0,59,39,0.0,0.0
11/16/2021,,2954,,,,77,70,0.0,0.0
04/25/2020,256,2070,275,0.1,0.1,176,189,0.1,0.1
06/20/2021,35,2687,37,0.0,0.0,10,11,0.0,0.0
02/13/2022,,2157,,,,21,37,0.0,0.0
06/16/2020,72,2555,73,0.0,0.0,42,41,0.0,0.0
11/25/2021,,2134,,,,84,90,0.0,0.0
06/26/2021,,2677,37,,0.0,4,8,0.0,0.0
03/10/2021,51,2662,48,0.0,0.0,39,38,0.0,0.0
04/05/2020,230,1932,270,0.1,0.1,124,124,0.1,0.1
12/17/2021,,3212,,,,328,244,0.1,0.1
05/19/2021,95,3195,97,0.0,0.0,69,74,0.0,0.0
02/21/2022,,2833,,,,22,27,0.0,0.0
04/28/2020,305,2231,276,0.1,0.1,230,202,0.1,0.1
02/04/2022,,2504,,,,43,55,0.0,0.0
11/09/2020,303,3195,243,0.1,0.1,253,210,0.1,0.1
09/19/2020,47,2351,51,0.0,0.0,22,30,0.0,0.0
03/03/2021,44,2541,44,0.0,0.0,36,36,0.0,0.0
03/08/2021,52,2678,46,0.0,0.0,40,36,0.0,0.0
09/06/2021,,3141,,,,110,96,0.0,0.0
10/09/2021,,2902,,,,50,55,0.0,0.0
03/01/2021,51,2590,44,0.0,0.0,44,37,0.0,0.0
12/09/2020,209,2403,193,0.1,0.1,187,173,0.1,0.1
01/15/2022,,2317,,,,198,287,0.1,0.1
06/30/2020,72,2582,65,0.0,0.0,49,36,0.0,0.0
04/11/2020,247,2030,265,0.1,0.1,160,159,0.1,0.1
04/16/2020,249,1994,255,0.1,0.1,162,164,0.1,0.1
01/06/2022,,2717,,,,453,504,0.2,0.2
09/10/2020,55,2639,56,0.0,0.0,35,33,0.0,0.0
03/24/2020,260,2744,205,0.1,0.1,35,16,0.0,0.0
03/19/2020,223,3029,176,0.1,0.1,6,3,0.0,0.0
12/08/2021,,3232,,,,153,149,0.0,0.0
03/22/2022,,3115,,,,13,11,0.0,0.0
12/31/2020,138,2045,142,0.1,0.1,125,127,0.1,0.1
12/07/2021,,3223,,,,155,146,0.0,0.0
03/11/2022,,2723,,,,19,14,0.0,0.0
11/20/2021,,2651,,,,84,75,0.0,0.0
01/11/2022,,2749,,,,364,381,0.1,0.1
03/13/2022,,2562,,,,13,14,0.0,0.0
01/25/2021,112,2457,107,0.0,0.0,92,94,0.0,0.0
01/14/2021,113,2393,125,0.0,0.1,102,112,0.0,0.0
02/15/2022,,2848,,,,33,32,0.0,0.0
02/14/2022,,2689,,,,31,34,0.0,0.0
11/12/2021,,2813,,,,69,62,0.0,0.0
03/09/2021,57,2643,47,0.0,0.0,42,38,0.0,0.0
03/04/2022,,2756,,,,19,14,0.0,0.0
07/23/2021,,3141,,,,39,29,0.0,0.0
11/01/2020,153,2276,148,0.1,0.1,130,124,0.1,0.1
07/15/2020,69,2678,68,0.0,0.0,45,41,0.0,0.0
06/24/2020,73,2660,62,0.0,0.0,32,36,0.0,0.0
09/08/2021,,3504,,,,110,98,0.0,0.0
01/10/2021,113,2034,134,0.1,0.1,105,122,0.1,0.1
04/15/2020,260,1967,255,0.1,0.1,163,162,0.1,0.1
10/23/2021,,2729,,,,44,40,0.0,0.0
09/17/2021,,3279,,,,72,76,0.0,0.0
07/13/2020,97,2939,68,0.0,0.0,42,40,0.0,0.0
08/10/2021,,3274,,,,98,78,0.0,0.0
01/12/2021,128,2422,131,0.1,0.1,111,119,0.0,0.1
06/13/2020,55,2305,81,0.0,0.0,38,48,0.0,0.0
12/15/2021,,3479,,,,288,204,0.1,0.1
09/21/2021,,3344,,,,70,63,0.0,0.0
