public	public_health_statistics__general_fertility_rates_in_chicago_by	16 kB	16384
public	libraries__2014_visitors_by_location	16 kB	16384
public	chicago_covid19_community_vulnerability_index_ccvi	16 kB	16384
public	performance_metrics__transportation__pothole_repair	16 kB	16384
public	libraries__2013_visitors_by_location	16 kB	16384
public	farmers_markets__2015	16 kB	16384
public	performance_metrics__transportation__traffic_lights_out	16 kB	16384
public	libraries__2013_circulation_by_location	16 kB	16384
public	foia_request_log__fleet_management__historical	16 kB	16384
public	libraries__2014_circulation_by_location	16 kB	16384
public	libraries__2011_circulation_by_location	16 kB	16384
public	libraries__2015_visitors_by_location	16 kB	16384
public	libraries__2012_visitors_by_location	16 kB	16384
public	libraries__2019_visitors_by_location	16 kB	16384
public	performance_metrics__transportation__street_lights_all_out	16 kB	16384
public	libraries__2011_visitors_by_location	16 kB	16384
public	libraries__2018_visitors_by_location	16 kB	16384
public	table7th_ward_alderman_applicants__2013	16 kB	16384
public	libraries__2016_visitors_by_location	16 kB	16384
public	libraries__2021_visitors_by_location	16 kB	16384
public	libraries__2018_circulation_by_location	16 kB	16384
public	performance_metrics__transportation__pavement_caveins	16 kB	16384
public	performance_metrics__buildings__time_to_issue_developer_service	16 kB	16384
public	libraries__2012_circulation_by_location	16 kB	16384
public	libraries__2020_visitors_by_location	16 kB	16384
public	performance_metrics__buildings__time_to_issue_standard_plan_rev	16 kB	16384
public	performance_metrics__transportation__stop_sign_out	16 kB	16384
public	performance_metrics__buildings__time_to_issue_easy_permits	16 kB	16384
public	libraries__2011_childrens_summer_reading_program	16 kB	16384
public	libraries__2021_circulation_by_location	16 kB	16384
public	libraries__2017_visitors_by_location	16 kB	16384
public	libraries__2012_holds_placed_by_location	16 kB	16384
public	libraries__2011_computer_sessions_by_location	16 kB	16384
public	lobbyist_data__historical__lobbyist_termination_report__2010	16 kB	16384
public	flu_shot_clinic_locations__2013	16 kB	16384
public	libraries___2015_circulation_by_location	16 kB	16384
public	performance_metrics__buildings__time_to_issue_green_permits	16 kB	16384
public	winter_overnight_parking_restrictions	16 kB	16384
public	libraries__2021_computer_sessions_by_location	16 kB	16384
public	libraries__2015_computer_sessions_by_location	16 kB	16384
public	libraries__2021_holds_placed_by_location	16 kB	16384
public	libraries__2019_circulation_by_location	16 kB	16384
public	libraries__2017_circulation_by_location	16 kB	16384
public	libraries__2021_holds_filled_by_location	16 kB	16384
public	libraries___2016_circulation_by_location	16 kB	16384
public	libraries__2020_circulation_by_location	16 kB	16384
public	libraries__2013_computer_sessions_by_location	16 kB	16384
public	libraries__2012_holds_filled_by_location	16 kB	16384
public	libraries__2012_computer_sessions_by_location	16 kB	16384
public	libraries__2011_holds_filled_by_location	16 kB	16384
public	libraries__2013_holds_filled_by_location	16 kB	16384
public	libraries__2014_holds_filled_by_location	16 kB	16384
public	libraries__2016_computer_sessions_by_location	16 kB	16384
public	libraries__2013_holds_placed_by_location	16 kB	16384
public	libraries__2016_holds_filled_by_location	16 kB	16384
public	financial_incentive_projects__tiffunded_economic_development	16 kB	16384
public	ward_offices_deprecated_may_2015	16 kB	16384
