CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JE344192,08/01/2021 12:00:00 PM,104XX S GREEN ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,N,N,2233,34,11,1172491,1835699,41.704593764,-87.643975141,"(41.704593764, -87.643975141)"
JE340571,08/17/2021 12:20:00 PM,057XX S LAKE SHORE DR,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,331,5,14,1189729,1867390,41.791160785,-87.579836586,"(41.791160785, -87.579836586)"
JE417871,10/21/2021 09:00:00 AM,026XX S DR MARTIN LUTHER KING JR DR,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,SIDEWALK,N,Y,133,4,04B,1179351,1887036,41.845314293,-87.617289734,"(41.845314293, -87.617289734)"
JE340063,08/17/2021 05:57:00 AM,0000X W 35TH ST,0610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,N,N,213,3,05,1176687,1881798,41.831001351,-87.627224232,"(41.831001351, -87.627224232)"
JE367322,09/09/2021 11:00:00 AM,079XX S ESCANABA AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,422,7,07,1196879,1852912,41.751257279,-87.554100638,"(41.751257279, -87.554100638)"
JE303327,07/16/2021 08:12:00 AM,016XX W MADISON ST,1330,CRIMINAL TRESPASS,TO LAND,CHA APARTMENT,N,N,1224,27,26,1165476,1900090,41.881441785,-87.667837814,"(41.881441785, -87.667837814)"
JE340844,08/17/2021 06:30:00 PM,078XX S NORMAL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,621,17,14,1174328,1852686,41.751167848,-87.636744946,"(41.751167848, -87.636744946)"
JE340462,08/17/2021 01:20:00 PM,001XX W 107TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,Y,513,34,14,1177389,1834006,41.699838941,-87.626090364,"(41.699838941, -87.626090364)"
JE340009,08/17/2021 01:50:00 AM,085XX W CATALPA AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,DRIVEWAY - RESIDENTIAL,N,Y,1614,41,14,1118347,1935413,41.979245508,-87.8401509,"(41.979245508, -87.8401509)"
JE344012,08/17/2021 09:40:00 PM,049XX W NORTH AVE,0810,THEFT,OVER $500,DEPARTMENT STORE,N,N,2533,37,06,1142988,1910178,41.909573262,-87.750161722,"(41.909573262, -87.750161722)"
